trial_index,utt_id,split,room_short,rir_gt_name,rir_path_rel,rir_file_path,image_path_abs,image_url,reference_url,prompt,speech_text,stim_T2R_GEN,stim_B1_GEN,stim_B2_GEN,stim_ANCHOR_LP3500
1,4970-29093-0015,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__0d15f5df.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171227_S/02/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__0d15f5df.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/latest_gt/4970-29093-0015__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed mid-distance away, with early reflections bouncing off nearby furniture and surfaces.",YOU CAN BEGIN BY CARRYING A ROD AND PUTTING DOWN THE FIGURES,external_data/text2rir_but_mushra/latest_gen/4970-29093-0015__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/4970-29093-0015__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/4970-29093-0015__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/4970-29093-0015__test-clean.wav
2,5639-40744-0030,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_wide_directed_back_and_7e34e55d.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID04_20171229_S/25/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_wide_directed_back_and_7e34e55d.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/4.jpg,external_data/text2rir_but_mushra/latest_gt/5639-40744-0030__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and wide, directed back and right, with the microphone placed high and wide, directed forward and down, capturing direct sound from 4-8 meters away, early reflections off nearby surfaces, and late reverberation cues.",JUST THEN LEOCADIA CAME TO HERSELF AND EMBRACING THE CROSS SEEMED CHANGED INTO A SEA OF TEARS AND THE GENTLEMAN REMAINED IN UTTER BEWILDERMENT UNTIL HIS WIFE HAD REPEATED TO HIM FROM BEGINNING TO END LEOCADIA'S WHOLE STORY AND HE BELIEVED IT THROUGH THE BLESSED DISPENSATION OF HEAVEN WHICH HAD CONFIRMED IT BY SO MANY CONVINCING TESTIMONIES,external_data/text2rir_but_mushra/latest_gen/5639-40744-0030__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/5639-40744-0030__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/5639-40744-0030__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/5639-40744-0030__test-clean.wav
3,8555-292519-0011,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__4f8f3924.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID01_20171225_T/14/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_wide_directed_left__4f8f3924.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/9.jpg,external_data/text2rir_but_mushra/latest_gt/8555-292519-0011__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and wide, directed left and level, with the microphone placed low and close to a wall, capturing direct sound from 2-4 meters away, as well as early reflections off nearby surfaces.",HE HAD GOT INTO HER COURTYARD,external_data/text2rir_but_mushra/latest_gen/8555-292519-0011__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/8555-292519-0011__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/8555-292519-0011__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/8555-292519-0011__test-clean.wav
4,121-127105-0034,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__d47f940f.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171229_T/07/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__d47f940f.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/latest_gt/121-127105-0034__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed mid-distance away, with direct path at 1-2m and left-up orientation, amidst medium furniture density and scattered objects.",IT SOUNDED DULL IT SOUNDED STRANGE AND ALL THE MORE SO BECAUSE OF HIS MAIN CONDITION WHICH WAS,external_data/text2rir_but_mushra/latest_gen/121-127105-0034__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/121-127105-0034__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/121-127105-0034__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/121-127105-0034__test-clean.wav
5,8555-284447-0010,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__9e0ecfac.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171229_T/30/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__9e0ecfac.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/latest_gt/8555-284447-0010__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed high, low-depth, and mid-height, with a direct path of 4-8 meters, and early reflections bouncing off nearby surfaces.",CONTROL YOURSELVES MY DEARS REPLIED THE BOOLOOROO THE WORST PUNISHMENT I KNOW HOW TO INFLICT ON ANYONE THIS PRISONER IS ABOUT TO SUFFER YOU'LL SEE A VERY PRETTY PATCHING MY ROYAL DAUGHTERS,external_data/text2rir_but_mushra/latest_gen/8555-284447-0010__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/8555-284447-0010__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/8555-284447-0010__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/8555-284447-0010__test-clean.wav
6,3570-5695-0012,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_377d98d8.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171227_S/21/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_low_and_mid_width_emitting_fro_377d98d8.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/1.jpg,external_data/text2rir_but_mushra/latest_gt/3570-5695-0012__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed low, high, and directed downwards, with a direct path of 1-2 meters, amidst medium furniture density and background noise.",IT IS ALSO NOTICEABLE THAT THE SERVICEABILITY OF CONSUMPTION AS A MEANS OF REPUTE AS WELL AS THE INSISTENCE ON IT AS AN ELEMENT OF DECENCY IS AT ITS BEST IN THOSE PORTIONS OF THE COMMUNITY WHERE THE HUMAN CONTACT OF THE INDIVIDUAL IS WIDEST AND THE MOBILITY OF THE POPULATION IS GREATEST,external_data/text2rir_but_mushra/latest_gen/3570-5695-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/3570-5695-0012__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/3570-5695-0012__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/3570-5695-0012__test-clean.wav
7,2830-3980-0040,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directing_sound__e0b3ed88.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID05_20171229_S/20/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directing_sound__e0b3ed88.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/8.jpg,external_data/text2rir_but_mushra/latest_gt/2830-3980-0040__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned high and left, directing sound upwards and to the front-left, with the microphone placed low and right, pointing down, capturing direct sound from 4-8 meters away, and early reflections off nearby surfaces.",THE GREETING OF THE APOSTLE IS REFRESHING,external_data/text2rir_but_mushra/latest_gen/2830-3980-0040__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/2830-3980-0040__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/2830-3980-0040__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/2830-3980-0040__test-clean.wav
8,6930-81414-0003,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directed_front_l_e838cf92.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID05_20171229_S/07/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directed_front_l_e838cf92.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/6.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/6.jpg,external_data/text2rir_but_mushra/latest_gt/6930-81414-0003__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned high and left, directed front-left and up, with the microphone placed low and mid, directed back-right and up, at a direct-path distance of 2-4m, amidst medium furniture density and background noise.",NO SOUND BROKE THE STILLNESS OF THE NIGHT,external_data/text2rir_but_mushra/latest_gen/6930-81414-0003__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/6930-81414-0003__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/6930-81414-0003__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/6930-81414-0003__test-clean.wav
9,5105-28240-0006,test-clean,L207,in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directing_sound__4c89067d.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID05_20171229_S/29/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_walls_a_sound_source_is_positioned_high_and_left_directing_sound__4c89067d.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/7.jpg,external_data/text2rir_but_mushra/latest_gt/5105-28240-0006__test-clean.wav,"In a small office with concrete and glass walls, a sound source is positioned high and left, directing sound upwards and to the front-left, with the microphone placed low and mid, facing front, and at a direct-path distance of several meters, capturing early reflections off nearby surfaces.",THE WIND BEING ADVERSE THE DOBRYNA DID NOT MAKE VERY RAPID PROGRESS BUT AS THE WEATHER IN SPITE OF A FEW CLOUDS REMAINED CALM AND THE SEA WAS QUITE SMOOTH SHE WAS ENABLED TO HOLD A STEADY COURSE,external_data/text2rir_but_mushra/latest_gen/5105-28240-0006__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/5105-28240-0006__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/5105-28240-0006__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/5105-28240-0006__test-clean.wav
10,4970-29095-0034,test-clean,L207,in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__bcdcf67d.wav,BUT_ReverbDB/VUT_FIT_L207/MicID01/SpkID02_20171229_T/06/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v01.wav,/home/kirak/stable-audio-tools/BUT_ReverbDB/rir_prompts_split_peaknorm/test/in_a_small_office_with_concrete_and_glass_surfaces_a_sound_source_is_positioned_low_and_mid_width_emitting__bcdcf67d.wav,/mnt/DATA0/dataset/BUT_ReverbDB_22k05_5p94s/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/but_images/VUT_FIT_L207/2.jpg,external_data/text2rir_but_mushra/latest_gt/4970-29095-0034__test-clean.wav,"In a small office with concrete and glass surfaces, a sound source is positioned low and mid-width, emitting from the front-left towards a microphone placed mid-distance away, with early reflections bouncing off nearby furniture and surfaces.",WHY SHOULD I RUST AND BE STUPID AND SIT IN INACTION BECAUSE I AM A GIRL,external_data/text2rir_but_mushra/latest_gen/4970-29095-0034__test-clean.wav,external_data/text2rir_but_mushra/baseline1_gen/4970-29095-0034__test-clean.wav,external_data/text2rir_but_mushra/baseline2_gen/4970-29095-0034__test-clean.wav,external_data/text2rir_but_mushra/anchor_lp3500/4970-29095-0034__test-clean.wav
